,total_issues,open_issues,closed_issues,closure_rate,unique_users,avg_comments,avg_labels,median_resolution_days,retention_rate,avg_contributions_per_user,has_labels_rate,has_comments_rate
vLLM,9631.0,1831.0,7800.0,0.809884747170595,5430.0,4.854220745509293,1.1937493510538886,38.374288194444446,0.43619561831585507,1.7736648250460405,0.8350119406084519,0.9035406499844253
SGLang,2567.0,536.0,2031.0,0.7911959485781067,1356.0,3.970003895597974,0.7093883911180366,21.51940972222222,0.47175691468640435,1.8930678466076696,0.48500194779898714,0.8823529411764706
llama.cpp,5470.0,281.0,5189.0,0.9486288848263255,3174.0,5.628884826325411,1.4546617915904936,44.18478009259259,0.41974405850091406,1.7233774417139256,0.8517367458866545,0.936745886654479
